epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
87,2253.16,0.9526,1.06031,1.46703,0.76961,0.66958,0.74626,0.5253,1.19269,1.20841,1.65483,0.000753083,0.000753083,0.000753083
88,2278.71,0.95111,1.03618,1.44903,0.81239,0.70556,0.77361,0.57531,1.03226,1.03481,1.51968,0.000745223,0.000745223,0.000745223
89,2304.54,0.94787,1.02637,1.44991,0.86536,0.525,0.70347,0.56306,1.00524,1.0091,1.48163,0.000737364,0.000737364,0.000737364
90,2329.98,0.91066,0.99796,1.43003,0.83475,0.64253,0.80144,0.59915,0.97682,1.14621,1.49899,0.000729504,0.000729504,0.000729504
91,2354.69,0.93578,1.04275,1.44957,0.8768,0.76371,0.83562,0.62351,0.96641,1.01468,1.50754,0.000721645,0.000721645,0.000721645
92,2379.89,0.93395,0.98182,1.45668,0.69392,0.73451,0.71697,0.56097,0.98935,1.27089,1.47224,0.000713785,0.000713785,0.000713785
93,2406.45,0.92356,0.97933,1.42955,0.7608,0.70906,0.67403,0.53874,0.99199,1.14918,1.48257,0.000705926,0.000705926,0.000705926
94,2431.59,0.93047,0.95618,1.44651,0.82568,0.65,0.7675,0.54752,1.21007,1.20498,1.6764,0.000698066,0.000698066,0.000698066
95,2457.03,0.93602,0.99824,1.44085,0.69415,0.6887,0.72408,0.55952,0.98881,1.09273,1.50663,0.000690207,0.000690207,0.000690207
96,2481.75,0.93524,0.94937,1.44475,0.77714,0.68662,0.77881,0.61899,0.96069,1.08237,1.48545,0.000682347,0.000682347,0.000682347
97,2506.69,0.92794,0.98795,1.44895,0.79724,0.55581,0.7196,0.52041,1.12082,1.30301,1.58505,0.000674488,0.000674488,0.000674488
98,2531.55,0.91855,0.99201,1.43751,0.75837,0.71431,0.8117,0.5875,1.11142,1.00882,1.59406,0.000666629,0.000666629,0.000666629
99,2556.18,0.93134,0.97582,1.44456,0.76906,0.72796,0.79887,0.56974,1.17112,1.01542,1.61166,0.000658769,0.000658769,0.000658769
100,2580.84,0.94087,0.99746,1.44896,0.8405,0.67731,0.778,0.56058,1.07292,1.04417,1.55449,0.000650909,0.000650909,0.000650909
101,2605.47,0.8923,0.94455,1.41568,0.75477,0.713,0.8002,0.59814,1.01598,1.00506,1.50812,0.00064305,0.00064305,0.00064305
102,2630.74,0.92203,0.94792,1.43429,0.77101,0.72797,0.74699,0.58929,0.95209,1.2,1.47245,0.00063519,0.00063519,0.00063519
103,2655.74,0.9095,0.98404,1.43108,0.68738,0.75623,0.71451,0.56304,0.84759,1.22758,1.4056,0.000627331,0.000627331,0.000627331
104,2680.63,0.90859,0.95126,1.42221,0.80346,0.74313,0.79239,0.61138,0.96392,0.97848,1.49282,0.000619472,0.000619472,0.000619472
105,2705.35,0.88094,0.90536,1.40514,0.76173,0.7686,0.78913,0.5967,0.93142,0.99811,1.43353,0.000611612,0.000611612,0.000611612
106,2729.94,0.92599,0.95375,1.43477,0.78819,0.6986,0.79774,0.59472,0.97524,0.99856,1.4851,0.000603752,0.000603752,0.000603752
107,2754.57,0.89092,0.92176,1.39395,0.96568,0.67414,0.84845,0.63175,1.02438,0.93794,1.53493,0.000595893,0.000595893,0.000595893
108,2780.06,0.8883,0.9362,1.39454,0.77971,0.68512,0.78904,0.61191,1.00359,1.01899,1.50081,0.000588034,0.000588034,0.000588034
